전철역코드,전철역명,전철명명(영문),호선,외부코드,x 좌표,y 좌표
0315,무악재,Muakjae,03호선,325,126.9503222,37.5823842
0316,독립문,Dongnimmun,03호선,326,126.9577503,37.5744104
0317,경복궁,Gyeongbokgung,03호선,327,126.9733437,37.5753767
0318,안국,Anguk,03호선,328,126.985823,37.5767204
0319,종로3가,Jongno 3(sam)-ga,03호선,329,126.9920293,37.5704266
0320,을지로3가,Euljiro 3(sam)-ga,03호선,330,126.9903084,37.5662659
0321,충무로,Chungmuro,03호선,331,126.9941107,37.5611722
0322,동대입구,Dongguk Univ.,03호선,332,127.0054602,37.5590302
0323,약수,Yaksu,03호선,333,127.0108225,37.5545595
0324,금호,Geumho,03호선,334,127.0158937,37.5481125
0325,옥수,Oksu,03호선,335,127.0189654,37.5409877
0326,압구정,Apgujeong,03호선,336,127.0282166,37.5268297
0327,신사,Sinsa,03호선,337,127.0203269,37.5164324
0328,잠원,Jamwon,03호선,338,127.0112201,37.5127991
0329,고속터미널,Express Bus Terminal,03호선,339,127.0049482,37.5049302
0330,교대,Seoul Nat`l Univ. of Education,03호선,340,127.0138384,37.4928182
0331,남부터미널,Nambu Bus Terminal,03호선,341,127.016207,37.4851402
0332,양재,Yangjae,03호선,342,127.0345442,37.4839347
0333,매봉,Maebong,03호선,343,127.0466146,37.4869611
0334,도곡,Dogok,03호선,344,127.0553234,37.4908647
0335,대치,Daechi,03호선,345,127.0634302,37.4945628
0336,학여울,Hangnyeoul,03호선,346,127.0719668,37.4956835
0337,대청,Daecheong,03호선,347,127.0794937,37.4937219
0338,일원,Irwon,03호선,348,127.0844518,37.4840736
0339,수서,Suseo,03호선,349,127.1018592,37.487389
0340,가락시장,Garak Market,03호선,350,127.1184858,37.492744
0341,경찰병원,National Police Hospital,03호선,351,127.1240678,37.4956031
0342,오금,Ogeum,03호선,352,127.1278792,37.502266
1948,원흥,Wonheung,03호선,317,126.8733073,37.6509207
1950,삼송,Samsong,03호선,318,126.8957426,37.6532535
1951,원당,Wondang,03호선,316,126.8431047,37.6534333
1952,화정,Hwajeong,03호선,315,126.83263,37.6345078
1953,대곡,Daegok,03호선,314,126.8106027,37.6318206
1954,백석,Baekseok,03호선,313,126.7881716,37.6431608
1955,마두,Madu,03호선,312,126.7782199,37.6523272
1956,정발산,Jeongbalsan,03호선,311,126.7734659,37.6596582
1957,주엽,Juyeop,03호선,310,126.761046,37.6704316
1958,대화,Daehwa,03호선,309,126.7473051,37.6759548
0409,당고개,Danggogae,04호선,409,127.0790112,37.6702926
0410,상계,Sanggye,04호선,410,127.0735754,37.6609039
0411,노원,Nowon,04호선,411,127.0630304,37.6562678
0412,창동,Chang-dong,04호선,412,127.0477009,37.6531955
0413,쌍문,Ssangmun,04호선,413,127.0348808,37.6488499
0414,수유,Suyu,04호선,414,127.0253569,37.6377452
0415,미아,Mia,04호선,415,127.0261035,37.6264436
0416,미아사거리,Miasamgeori,04호선,416,127.0300984,37.6132861
0417,길음,Gireum,04호선,417,127.0236736,37.6026982
0418,성신여대입구,Sungshin Women`s Univ.,04호선,418,127.0164776,37.592718
0419,한성대입구,Hansung Univ.,04호선,419,127.0059504,37.5883949
0420,혜화,Hyehwa,04호선,420,127.0023149,37.5818891
0421,동대문,Dongdaemun,04호선,421,127.0111671,37.5717776
0422,동대문역사문화공원,Dongdaemun History  Culture Park,04호선,422,127.0091315,37.5655895
0423,충무로,Chungmuro,04호선,423,126.9941107,37.5611722
0424,명동,Myeong-dong,04호선,424,126.9859471,37.5609101
0425,회현,Hoehyeon,04호선,425,126.9782391,37.5585353
0426,서울역,Seoul Station,04호선,426,126.9725546,37.5571595
0427,숙대입구,Sookmyung Women`s Univ.,04호선,427,126.9718723,37.545194
0428,삼각지,Samgakji,04호선,428,126.9730111,37.5345937
0429,신용산,Sinyongsan,04호선,429,126.9682159,37.5296156
0430,이촌,Ichon,04호선,430,126.9736831,37.5225203
0431,동작,Dongjak,04호선,431,126.9802684,37.5028704
0432,총신대입구,Chongshin Univ.,04호선,432,126.9821998,37.4875538
0433,사당,Sadang,04호선,433,126.981409,37.4765228
0434,남태령,Namtaeryeong,04호선,434,126.9886565,37.4648576
1450,선바위,Seonbawi,04호선,435,127.0013633,37.4518723
1451,경마공원,Seoul Racecourse Park,04호선,436,127.0080511,37.4441407
1452,대공원,Seoul Grand Park,04호선,437,127.0055641,37.4357353
1453,과천,Gwacheon,04호선,438,126.9974569,37.4334528
1454,정부과천청사,Government Complex Gwacheon,04호선,439,126.9901861,37.425997
1455,인덕원,Indeogwon,04호선,440,126.9766888,37.401508
1456,평촌,Pyeongchon,04호선,441,126.9638663,37.3944956
1457,범계,Beomgye,04호선,442,126.9509839,37.3897344
1458,금정,Geumjeong,04호선,443,126.9433872,37.3722879
1751,산본,Sanbon,04호선,444,126.9331751,37.3581052
1752,대야미,Daeyami,04호선,446,126.9171789,37.3283279
1753,반월,Banwol,04호선,447,126.903795,37.3120044
1754,상록수,Sangnoksu,04호선,448,126.8654174,37.3029805
1755,한대앞,Hanyang Univ. at Ansan,04호선,449,126.8533807,37.3103819
1756,중앙,Jungang,04호선,450,126.8384965,37.3160121
1757,고잔,Gojan,04호선,451,126.8220322,37.3169101
1758,초지,Choji,04호선,452,126.8220322,37.3169101
1759,안산,Ansan,04호선,453,126.7908559,37.3265849
1760,신길온천,Singil oncheon,04호선,454,126.7671491,37.3375788
1761,정왕,Jeongwang,04호선,455,126.7430094,37.351774
1762,오이도,Oido,04호선,456,126.7384636,37.361927
1763,수리산,Surisan,04호선,445,126.9254902,37.3501288
2511,방화,Banghwa,05호선,510,126.8126299,37.5770031
2512,개화산,Gaehwasan,05호선,511,126.8060017,37.5722701
2513,김포공항,Gimpo Intl. Airport,05호선,512,126.8012785,37.5623129
2514,송정,Songjeong,05호선,513,126.8110554,37.5614775
2515,마곡,Magok,05호선,514,126.825548,37.5601985
2516,발산,Balsan,05호선,515,126.8373108,37.5590293
2517,우장산,Ujangsan,05호선,516,126.836409,37.5490002
2518,화곡,Hwagok,05호선,517,126.8404964,37.5414337
2519,까치산,Kkachisan,05호선,518,126.8466116,37.5319561
2520,신정,Sinjeong,05호선,519,126.8572705,37.5254312
2521,목동,Mok-dong,05호선,520,126.8647426,37.5261986
2522,오목교,Omokgyo,05호선,521,126.8753546,37.5244501
2523,양평,Yangpyeong,05호선,522,126.8868656,37.5255117
2524,영등포구청,Yeongdeungpo-gu Office,05호선,523,126.895596,37.524299
2525,영등포시장,Yeongdeungpo Market,05호선,524,126.9049592,37.5227345
2526,신길,Singil,05호선,525,126.9172249,37.5170318
2527,여의도,Yeouido,05호선,526,126.9244847,37.5218423
2528,여의나루,Yeouinaru,05호선,527,126.932864,37.5270851
2529,마포,Mapo,05호선,528,126.9459203,37.5395838
2530,공덕,Gongdeok,05호선,529,126.9513638,37.5445268
2531,애오개,Aeogae,05호선,530,126.9566132,37.5533624
